Entity1ID	Entity1	Entity2ID	Entity2	PMID:keyword
Herb132	glucose	Symptom343	insulin resistance	25114710:null
Herb132	glucose	Symptom630	stress	25620665:mimic
Herb132	glucose	Symptom631	stroke	27238976:null
Herb132	glucose	Symptom631	stroke	26363153:null
Herb132	glucose	Symptom631	stroke	19657036:null
Herb132	glucose	Symptom545	ptosis	23942209:null
Herb132	glucose	Symptom340	injury	27987133:null
Herb132	glucose	Symptom545	ptosis	26466330:null
Herb132	glucose	Symptom340	injury	26011492:indicating
Herb132	glucose	Symptom545	ptosis	30988281:null
Herb132	glucose	Symptom150	Cyst	28046118:null
Herb132	glucose	Symptom702	virus	23185548:null
Herb132	glucose	Symptom340	injury	27826749:mimicking
Herb132	glucose	Symptom343	insulin resistance	25063351:null
Herb132	glucose	Symptom631	Stroke	25063351:null
Herb132	glucose	Symptom631	stroke	25063351:null
Herb132	glucose	Symptom164	diabetes	27207546:null
Herb132	glucose	Symptom455	neuroblastoma	24602263:induced
Herb132	glucose	Symptom455	neuroblastoma	29715465:null
Herb132	glucose	Symptom340	injury	31460837:induced
Herb132	glucose	Symptom631	stroke	29521586:null
Herb132	glucose	Symptom221	etec	29521586:null
Herb132	glucose	Symptom679	tumor	29521586:null
Herb132	glucose	Symptom545	ptosis	29521586:null
Herb132	glucose	Symptom340	injury	30597231:induced
Herb132	glucose	Symptom468	obesity	27386434:null
Herb132	glucose	Symptom343	insulin resistance	27386434:null
Herb132	glucose	Symptom340	injury	29234386:null
Herb132	glucose	Symptom377	leukemia	27108052:regulated
Herb132	glucose	Symptom340	injury	31662991:null
Herb132	glucose	Symptom421	MS	30834085:null
Herb132	glucose	Symptom631	stroke	29804326:null
Herb132	glucose	Symptom715	weight gain	27129676:null
Herb132	glucose	Symptom545	ptosis	25677097:null
Herb132	glucose	Symptom455	neuroblastoma	25677097:null
Herb132	glucose	Symptom340	injury	31851841:null
Herb132	glucose	Symptom340	injury	31851841:induce
Herb132	glucose	Symptom340	injury	31916203:null
Herb132	glucose	Symptom340	injury	31907708:mimic
Herb132	glucose	Symptom545	ptosis	31902795:null
Herb132	glucose	Symptom631	stroke	31629858:null
Herb132	glucose	Symptom631	stroke	31227974:null
Herb132	glucose	Symptom631	stroke	31921197:null
Herb132	glucose	Symptom340	injury	31845160:null
Herb132	glucose	Symptom545	ptosis	31845160:null
Herb132	glucose	Symptom421	MS	31852624:null
Herb132	glucose	Symptom340	injury	31174432:null
Herb132	glucose	Symptom631	stroke	31174432:null
Herb132	glucose	Symptom191	dull	31174432:stimulate
Herb132	glucose	Symptom340	injury	31638230:null
Herb132	glucose	Symptom630	stress	31638230:null
Herb132	glucose	Symptom545	ptosis	31885537:null
Herb132	glucose	Symptom630	stress	31885537:null
Herb132	glucose	Symptom630	stress	31421130:null
Herb132	glucose	Symptom631	stroke	31329361:null
Herb132	glucose	Symptom340	injury	30945283:null
Herb132	glucose	Symptom631	stroke	30945283:null
Herb132	glucose	Symptom421	MS	30945283:null
Herb132	glucose	Symptom516	PMS	30945283:null
Herb132	glucose	Symptom545	ptosis	31654225:null
Herb132	glucose	Symptom551	RA	31654225:null
Herb132	glucose	Symptom340	injury	31597329:null
Herb132	glucose	Symptom631	stroke	31201658:null
Herb132	glucose	Symptom340	injury	31021470:null
Herb132	glucose	Symptom631	stroke	31187440:mimic
Herb132	glucose	Symptom630	stress	31406177:null
Herb132	glucose	Symptom177	disease	31248544:tomography/computed
Herb132	glucose	Symptom14	aging	31248544:tomography/computed
Herb132	glucose	Symptom630	stress	31248544:tomography/computed
Herb132	glucose	Symptom631	stroke	31004734:null
Herb132	glucose	Symptom545	ptosis	31060778:null
Herb132	glucose	Symptom164	diabetes	31162142:null
Herb132	glucose	Symptom340	injury	30753053:null
Herb132	glucose	Symptom630	stress	30753053:null
Herb132	glucose	Symptom630	stress	30828041:null
Herb132	glucose	Symptom630	stress	31028483:null
Herb132	glucose	Symptom631	stroke	31040819:null
Herb132	glucose	Symptom421	MS	30632499:null
Herb132	glucose	Symptom340	injury	30890073:null
Herb132	glucose	Symptom164	Diabetes	30668344:null
Herb132	glucose	Symptom631	stroke	30668344:leads
Herb132	glucose	Symptom70	blindness	30668344:leads
Herb132	glucose	Symptom631	stroke	30668344:null
Herb132	glucose	Symptom70	blindness	30668344:null
Herb132	glucose	Symptom221	etec	30833588:emerged
Herb132	glucose	Symptom14	aging	30833588:emerged
Herb132	glucose	Symptom221	etec	30833588:null
Herb132	glucose	Symptom14	aging	30833588:null
Herb132	glucose	Symptom115	chemical	30833588:null
Herb132	glucose	Symptom340	injury	30665003:present
Herb132	glucose	Symptom673	trauma	30665003:present
Herb132	glucose	Symptom631	stroke	30665003:present
Herb132	glucose	Symptom14	aging	30665003:null
Herb132	glucose	Symptom340	injury	30593877:null
Herb132	glucose	Symptom385	localized	30593877:null
Herb132	glucose	Symptom221	etec	30593877:null
Herb132	glucose	Symptom340	injury	30687092:investigate
Herb132	glucose	Symptom340	injury	30687092:null
Herb132	glucose	Symptom545	ptosis	29769639:null
Herb132	glucose	Symptom417	mono	30287160:reduced
Herb132	glucose	Symptom631	stroke	30287160:null
Herb132	glucose	Symptom14	aging	30421523:null
Herb132	glucose	Symptom340	injury	30008229:reduced
Herb132	glucose	Symptom340	injury	29947255:null
Herb132	glucose	Symptom340	injury	30129112:null
Herb132	glucose	Symptom340	injury	30129112:responsible
Herb132	glucose	Symptom221	etec	30129112:null
Herb132	glucose	Symptom631	stroke	30168601:adopted
Herb132	glucose	Symptom631	stroke	30266998:comparing
Herb132	glucose	Symptom421	MS	29752623:null
Herb132	glucose	Symptom421	MS	30191592:null
Herb132	glucose	Symptom221	etec	30186497:performed
Herb132	glucose	Symptom340	injury	30186461:null
